Title,URL,Description,Keywords,Contact,Licence,Status,Authors,Last Updated,Fields,Types
Editing Audio with Audacity,https://ubc-library-rc.github.io/intro-audacity/,"An introduction to Audacity, free sound editing software, covering recording and editing audio for podcasts, oral histories, and narration.","Audacity, audio editing, podcasts, oral history, sound",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Digital scholarship,workshop
Intermediate Jekyll,https://ubc-library-rc.github.io/intermediate-Jekyll/,"Builds on the introductory Jekyll workshop, covering customizing a Jekyll website using themes, the Liquid templating language, and plugins.","Jekyll, Liquid, themes, plugins, GitHub Pages",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Intro to Web Scraping with Python,https://ubc-library-rc.github.io/intro-web-scraping-Python/,"An introductory, Python-based web scraping workshop using free online notebooks (Google Colaboratory or Jupyter); no prior web scraping knowledge required.","Python, web scraping, Jupyter, Google Colab, data collection",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Introduction to APIs,https://ubc-library-rc.github.io/intro-api/,"Orients complete beginners to APIs: articulating what an API is, formulating an API query, and retrieving information through an API call.","API, web services, data retrieval, JSON, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-17,Digital scholarship,workshop
Introduction to Blockchain Research Skills,https://ubc-library-rc.github.io/intro-blockchain-research/,"A broad introduction to blockchain and other decentralized technologies, followed by exemplar research use cases across disciplines.","blockchain, decentralized technology, research skills, cryptocurrency, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Introduction to Docker,https://ubc-library-rc.github.io/intro-docker/,"Introduces the set of virtualization tools referred to as Docker, used to create and share small, reproducible computing environments.","Docker, containers, virtualization, reproducibility, computing environments",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Introduction to Git and GitHub,https://ubc-library-rc.github.io/intro-git/,Adapted from the Carpentries; introduces the basics of Git and GitHub for version control and collaboration.,"Git, GitHub, version control, collaboration, command line",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-27,Digital scholarship,workshop
Introduction to Jekyll and GitHub Pages,https://ubc-library-rc.github.io/intro-jekyll/,Teaches participants how to use Jekyll and GitHub Pages to quickly and easily publish a static website using only a browser.,"Jekyll, GitHub Pages, static site, web publishing, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-16,Digital scholarship,workshop
Introduction to Large Language Models,https://ubc-library-rc.github.io/llm/,"Provides a foundational understanding of large language models: how they work, how to fine-tune a pre-trained LLM, and the ethics of AI.","LLMs, AI, machine learning, fine-tuning, ethics",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Digital scholarship,workshop
Introduction to Machine Learning: Regression Models,https://ubc-library-rc.github.io/ml-regression/,"Provides a foundational understanding of machine learning through regression models, covering training, interpreting results, and making predictions on real-world datasets.","machine learning, regression, predictive modeling, data science, Python",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Introduction to Markdown Digital Workflows,https://ubc-library-rc.github.io/intro-markdown/,"Introduces the benefits of plain text files and Markdown for building flexible, robust, and future-proof workflows for digital scholarship and research.","Markdown, plain text, digital workflows, digital scholarship, GitHub",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Introduction to Regular Expressions,https://ubc-library-rc.github.io/intro-regex/,"A hands-on, two-part introduction to regular expressions (regex), covering basic and additional syntax and finding/replacing text.","regex, regular expressions, text processing, pattern matching, search and replace",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Introduction to Text Analysis from Voyant to NLTK,https://ubc-library-rc.github.io/intro-text-analysis/,"Introduces common tools and methods for programmatic text analysis, walking through beginner and intermediate workflows using Voyant and the Python NLTK library.","text analysis, Voyant, NLTK, Python, digital humanities",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Introduction to the Unix Shell,https://ubc-library-rc.github.io/intro-shell/,Adapted from the Carpentries; orients complete beginners to the Unix shell.,"Unix shell, command line, bash, Carpentries, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-19,Digital scholarship,workshop
Introduction to Web Scraping,https://ubc-library-rc.github.io/intro-web-scraping/,Introduces web scraping concepts and workflow using the Data Miner browser plugin for Chrome/Edge.,"web scraping, Data Miner, browser plugin, data collection, HTML",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-06-18,Digital scholarship,workshop
Metadata Basics: Describing Research Data,https://ubc-library-rc.github.io/intro-metadata/,"Introduces what metadata is and how it's used, how to select a metadata standard suited to a project and discipline, and how to select appropriate metadata tools.","metadata, metadata standards, research data, data description, RDM",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Digital scholarship,workshop
Network Analysis and Visualization using Gephi and Palladio,https://ubc-library-rc.github.io/gephi-palladio/,"Introduces social network analysis (SNA) concepts and hands-on activities using Gephi and Palladio for modeling, visualizing, and analyzing network data.","Gephi, Palladio, network analysis, social network analysis, visualization",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Research Workflows & Data Management for Digital Storytelling,https://ubc-library-rc.github.io/research-workflows-digital-storytelling/,"A survey of tools, strategies, and best practices for data workflow and management in digital storytelling projects, including file types and working with community partners.","digital storytelling, data management, workflows, community partners, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Setting Up a Development Environment,https://ubc-library-rc.github.io/intro-development-environment/,"Explores the differences between development environments and basic text editors, and walks through setting up a development environment using Visual Studio Code.","VS Code, development environment, text editors, programming setup, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
Geocoding and Web Mapping with Python,https://ubc-library-rc.github.io/Geocoding-Web-Mapping-with-Python/,"Covers geocoding and creating simple web maps with Python using the Mapbox API, applied to a dataset on police-involved deaths in Canada.","Python, geocoding, Mapbox API, web mapping, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-05,Geographic information systems (GIS) and mapping,workshop
"Geopackages, or GIS without GIS",https://ubc-library-rc.github.io/geopackage_workshop/,An introduction to using GeoPackage spatial databases without specialized geographic information systems software.,"GeoPackage, spatial database, GIS, vector data, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-02-25,Geographic information systems (GIS) and mapping,workshop
Georeferencing Historical Maps,https://ubc-library-rc.github.io/gis-georeferencing/,An introduction to georeferencing historical maps with QGIS.,"georeferencing, historical maps, QGIS, GIS, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-05,Geographic information systems (GIS) and mapping,workshop
Geospatial Analysis and Visualization with Python,https://ubc-library-rc.github.io/Geospatial-Analysis-Visualization-with-Python/,"Covers geospatial analysis with Python, including reading/writing vector data, vector overlays, and spatial interpolation, applied to a dataset on police-involved deaths in Canada.","Python, geospatial analysis, vector data, spatial interpolation, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-05,Geographic information systems (GIS) and mapping,workshop
GIS with R,https://ubc-library-rc.github.io/gis-with-R/,An introductory workshop on using R for spatial data analysis in conjunction with Geographic Information Systems such as QGIS.,"R, GIS, spatial analysis, QGIS, spatial data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-05,Geographic information systems (GIS) and mapping,workshop
Introduction to GIS and Mapping,https://ubc-library-rc.github.io/gis-mapping-intro/,Provides an overview of the fundamental skills and concepts to begin mapmaking with QGIS; prerequisite for other GIS and Mapping workshops.,"GIS, QGIS, mapmaking, spatial data, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-09,Geographic information systems (GIS) and mapping,workshop
Introduction to Mapbox,https://ubc-library-rc.github.io/intro-mapbox/,"Introduces Mapbox GL JS for designing customizable, interactive web maps, including environment setup and a hands-on map-building exercise.","Mapbox, web maps, Mapbox GL JS, interactive maps, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-04-07,Geographic information systems (GIS) and mapping,workshop
Introduction to StoryMaps with ArcGIS Online,https://ubc-library-rc.github.io/gis-storymaps/,A gentle introduction to creating StoryMaps using the free ArcGIS Online platform to visualize spatial narratives.,"StoryMaps, ArcGIS Online, spatial narratives, GIS, mapping",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-05,Geographic information systems (GIS) and mapping,workshop
Introduction to Web Mapping (archived),https://ubc-library-rc.github.io/gis-intro-leaflet/,"A beginner-level workshop on making interactive maps, focused on Leaflet.js.","Leaflet.js, web mapping, interactive maps, JavaScript, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,UBC Library Research Commons,2025-12-04,Geographic information systems (GIS) and mapping,workshop
Map Production in GIS with ArcGIS Pro,https://ubc-library-rc.github.io/intro-to-arcgis-pro/,An introductory workshop on the fundamental concepts and skills needed to begin using ArcGIS Pro for exploring and analyzing spatial data.,"ArcGIS Pro, map production, spatial analysis, GIS, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2022-04-13,Geographic information systems (GIS) and mapping,workshop
Map Production with QGIS,https://ubc-library-rc.github.io/gis-intro-qgis/,An introductory workshop focusing on fundamental concepts and skills needed to begin using QGIS to explore and analyze spatial data.,"QGIS, map production, spatial data, GIS, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-02-16,Geographic information systems (GIS) and mapping,workshop
Network Analysis with QGIS,https://ubc-library-rc.github.io/qgis-walkability/,Applies spatial analysis tools in QGIS to estimate and visualize a walkability index using open data from the City of Vancouver.,"QGIS, walkability, spatial analysis, network analysis, open data",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-04-07,Geographic information systems (GIS) and mapping,workshop
Plugins in QGIS,https://ubc-library-rc.github.io/gis-plugins-qgis/,Extends basic knowledge of QGIS by exploring common plugins.,"QGIS, plugins, GIS, spatial analysis, mapping tools",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-12-09,Geographic information systems (GIS) and mapping,workshop
Reference Mapping for Academic Publication,https://ubc-library-rc.github.io/gis-reference-mapping/,"An overview of how to create simple, static reference maps to accompany academic publications using QGIS.","reference maps, QGIS, academic publishing, cartography, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-10,Geographic information systems (GIS) and mapping,workshop
Telling Spatial Stories,https://ubc-library-rc.github.io/gis-spatial-stories/,Introduces a variety of mapping tools and processes for novices getting started with creating maps and spatial visualizations.,"spatial storytelling, mapping tools, GIS, visualization, cartography",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-01-19,Geographic information systems (GIS) and mapping,workshop
Thematic Mapping with QGIS,https://ubc-library-rc.github.io/gis-thematic-mapping/,"An intermediate-level workshop demonstrating how to create thematic maps, perform queries on spatial data, and edit attribute tables using QGIS.","QGIS, thematic maps, spatial queries, attribute tables, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-09,Geographic information systems (GIS) and mapping,workshop
Tools and Workflows in QGIS,https://ubc-library-rc.github.io/gis-tools-workflows/,"An intermediate-level workshop on common tools and workflows in QGIS: setting up a project, loading data, editing vector data, joins, selections, and vector analysis.","QGIS, vector data, spatial analysis, workflows, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-16,Geographic information systems (GIS) and mapping,workshop
Understanding Spatial Data: Map Projections,https://ubc-library-rc.github.io/map-projections/,"Familiarizes participants with foundational spatial data concepts, including coordinate reference systems, datums, and map projections, using ArcGIS Pro exercises.","map projections, coordinate reference systems, datums, ArcGIS Pro, GIS",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2023-05-24,Geographic information systems (GIS) and mapping,workshop
Visualizing Data in ArcGIS Online (archived),https://ubc-library-rc.github.io/intro-AGOL/,"Introduces beginners to the ArcGIS Online platform: creating web maps, adding and symbolizing data, and building a Story Map.","ArcGIS Online, web maps, Story Map, GIS, data visualization",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,UBC Library Research Commons,2023-04-30,Geographic information systems (GIS) and mapping,workshop
File Naming,https://ubc-library-rc.github.io/rdm/content/01_file_naming.html,Learn how to name your data files.,"file naming, RDM, research data management, file organization, best practices",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-06-01,Research Data Management (RDM),workshop
File Formats,https://ubc-library-rc.github.io/rdm/content/02_file_formats.html,Learn what data formats to use.,"file formats, RDM, research data management, data preservation, file types",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-06-04,Research Data Management (RDM),workshop
Creating a README file,https://ubc-library-rc.github.io/rdm/content/03_create_readme.html,Learn how to create good README files.,"README, documentation, RDM, research data management, best practices",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-10,Research Data Management (RDM),workshop
Creating a Data Dictionary,https://ubc-library-rc.github.io/rdm/content/07_data_dictionary.html,Learn how to create a good data dictionary or code book.,"data dictionary, code book, metadata, RDM, research data management",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-29,Research Data Management (RDM),workshop
Directories Structure,https://ubc-library-rc.github.io/rdm/content/04_directory_structures.html,Learn to organize your data directories.,"directory structure, file organization, RDM, research data management, best practices",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-15,Research Data Management (RDM),workshop
Introduction to Markdown for Research Data Management,https://ubc-library-rc.github.io/Introduction-to-Markdown/,Learn how to use Markdown with research data.,"Markdown, RDM, plain text, research data, documentation",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-04-13,Research Data Management (RDM),workshop
Create a README with Markdown,https://ubc-library-rc.github.io/Introduction-to-Markdown/content/02_create_readme_with_md.html,Learn how to create a README file using Markdown.,"README, Markdown, documentation, RDM, research data management",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-01-05,Research Data Management (RDM),workshop
Advanced Markdown,https://ubc-library-rc.github.io/Introduction-to-Markdown/content/03_extended_md.html,Covers more advanced Markdown syntax and usage.,"Markdown, advanced syntax, documentation, RDM, research data management",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-01-05,Research Data Management (RDM),workshop
Metadata basics: describing research data,https://ubc-library-rc.github.io/intro-metadata/,"Introduces what metadata is and how it's used, how to select a metadata standard suited to a project and discipline, and how to select appropriate metadata tools.","metadata, metadata standards, research data, data description, RDM",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Research Data Management (RDM),workshop
Deposit in UBC Dataverse Collection: Basic Deposit,https://ubc-library-rc.github.io/rdm/content/05-1_Basic_Deposit.html,Learn how to deposit your data in the Borealis (UBC Dataverse) repository.,"Dataverse, Borealis, data deposit, RDM, data repository",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-03-12,Research Data Management (RDM),workshop
Deposit in UBC Dataverse Collection: Advanced Deposit,https://ubc-library-rc.github.io/rdm/content/05-2_Advanced_Deposit.html,Covers advanced deposit workflows in the UBC Dataverse Collection.,"Dataverse, Borealis, data deposit, RDM, advanced deposit",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-03-12,Research Data Management (RDM),workshop
Deposit in UBC Dataverse Collection: Admin Deposit,https://ubc-library-rc.github.io/rdm/content/05-3_Admin_Access.html,Covers administrative deposit and access management in the UBC Dataverse Collection.,"Dataverse, Borealis, admin access, RDM, data deposit",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-03-13,Research Data Management (RDM),workshop
Deposit in UBC Dataverse Collection: Geomatics Deposit,https://ubc-library-rc.github.io/rdm/content/05-4_Geospatial_Deposit.html,Covers depositing geomatics/geospatial data in the UBC Dataverse Collection.,"Dataverse, Borealis, geospatial data, RDM, data deposit",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2024-04-17,Research Data Management (RDM),workshop
Create a Data Management Plan,https://ubc-library-rc.github.io/rdm/content/06_Data_Management_Plan.html,Learn how to create a variety of Data Management Plans.,"data management plan, DMP, RDM, research data management, grant applications",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-04-17,Research Data Management (RDM),workshop
Create a Simplified Data Management Plan,https://ubc-library-rc.github.io/rdm/content/08_Simplified-Data-Management-Plan.html,Learn how to create a Simplified Data Management Plan for Tri-Agency grant applications.,"simplified DMP, Tri-Agency, RDM, research data management, grant applications",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-06-11,Research Data Management (RDM),workshop
License Research Data,https://ubc-library-rc.github.io/rdm/content/09_License-Research-Data.html,Learn how to license research data within the Canadian legal framework.,"data licensing, Creative Commons, RDM, research data management, legal framework",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-29,Research Data Management (RDM),workshop
Introduction to Data De-Identification,https://ubc-library-rc.github.io/rdm/content/10-1_Introduction-Data-Anonymization.html,Learn the theory behind why and how to de-identify research data.,"de-identification, anonymization, RDM, research data management, privacy",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-13,Research Data Management (RDM),workshop
Introduction to Manual Data De-identification,https://ubc-library-rc.github.io/rdm/content/10-2_Manual-Data-Anonymization.html,A hands-on guide to manually de-identifying research data.,"manual de-identification, anonymization, RDM, research data management, privacy",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-05-13,Research Data Management (RDM),workshop
Advanced Unix Shell,https://ubc-library-rc.github.io/advanced-shell/,"Moving beyond basic commands, this hands-on workshop covers the grammar of shell commands, using shell tools to search and manipulate large datasets, building advanced pipelines with composable Unix commands, and working with images and audio from the command line.","Unix shell, command line, bash, pipelines, shell scripting",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,in development,UBC Library Research Commons,2026-09-08,Digital scholarship,workshop
Digital Storytelling with Twine,https://ubc-library-rc.github.io/intro-twine/,"A brief introduction to the digital storytelling tool Twine, covering building interactive narratives and extending projects with embedded content such as Knightlab tools.","Twine, digital storytelling, interactive fiction, narrative tools, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-09-08,Digital scholarship,workshop
Introduction to Machine Learning: Classification and Clustering Models,https://ubc-library-rc.github.io/ml-classification-clustering/,"Explores machine learning models for clustering and classification, covering algorithms like K-means and decision trees, feature selection, and model evaluation through hands-on Jupyter Notebook exercises.","machine learning, classification, clustering, K-means, decision trees",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
